番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
政宗君的复仇（僅限港澳台地區）,6.7,297233,276926,13486,1368,漫画改|校园|恋爱,0
告白实行委员会 告白预演,9.2,6291134,2356746,39277,523,恋爱|校园|声控,0
加速世界 Infinite Burst,8.7,4278630,1240193,131950,1022,小说改|恋爱|战斗|励志,1
滿腦都是○○的我沒辦法談戀愛（僅限台灣地區）,9.5,823132,258403,15353,1849,漫画改|搞笑|恋爱,0
中二病也要谈恋爱！Lite,9.6,4299095,4399851,71090,1869,小说改|恋爱|校园,0
出租女友（僅限港澳台地區）,7.3,1041514,232816,44542,3948,漫画改|恋爱|声控,0
騷亂時節的少女們。（僅限台灣地區）,9.4,798248,222717,36601,2965,漫画改|日常|校园|恋爱,0
吸血鬼骑士 Guilty,9.2,11209162,486798,295415,872,恋爱|乙女|少女,0
狼少女与黑王子,8.9,2741959,264689,58579,1673,漫画改|少女|恋爱|校园,1
SHUFFLE,9.1,2496599,223511,41244,803,游戏改|奇幻|魔法|神魔,0
募恋英雄,9,3126244,209249,18357,1004,游戏改|恋爱|乙女|职场,1
阳光中的青时雨,9.7,1064557,200020,14095,1006,治愈|恋爱|校园,0
天堂之吻,9.6,3157245,199895,28896,720,恋爱,0
他和她的故事,9.6,2897299,199644,81286,1093,恋爱|少女|日常,0
告白实行委员会 嫉忌的答复,9.2,6291134,2356746,39277,451,恋爱|校园|声控,0
君吻Pure Rouge,8.5,1545481,198307,29710,1013,日常|恋爱|校园,0
MIX,9.8,6377269,192539,42374,4431,漫画改|运动|社团|恋爱,1
橘色奇迹,9,949221,180459,14717,1223,漫画改|校园|恋爱|奇幻,1
告白实行委员会 我于此刻恋上你,9.2,6291134,2356746,39277,426,恋爱|校园|少女|音乐,0
悠久之翼2,9.7,1533207,464184,54123,2323,少女|催泪|校园|恋爱,0
我们的存在,9.4,874682,168278,23345,632,日常|少女|治愈|恋爱,0
早安恋味糕点店,7.7,1905911,166909,30776,279,恋爱|校园|日常,0
Dies irae 神怒之日（僅限港澳台地區）,7.1,346749,166075,4243,402,恋爱|游戏改,0
恋爱情结,9.7,3163934,161637,115881,1402,恋爱|校园|少女,0
如果有○○就好了。,9.4,6561501,2739771,3995,1229,小说改|恋爱,0
月色真美 SP,9.7,2773444,3199505,27739,2234,恋爱|校园|原创,0
青春之旅 OAD,9.3,3381451,1347335,69539,786,恋爱|校园,0
源氏物语千年纪 Genji,9.1,1743307,147903,50147,363,历史|少女|恋爱,0
坂道上的阿波罗,9.6,890333,140375,24984,1268,音乐|治愈|励志|校园,0
虹色时光,9.4,1880132,137107,19134,1523,漫画改|恋爱|校园|少女,1
白色相簿 下半篇章,9.5,1091388,702033,19145,1206,日常|恋爱|游戏改,1
魔術學姐（僅限港澳台地區）,9.2,618888,126002,5926,853,漫画改|搞笑|恋爱,0
吹響！上低音號 第二季（僅限台灣地區）,9.6,630349,124683,24304,1240,音乐|校园|恋爱|社团,0
初音岛 S.S.,9.1,920305,471417,29049,368,日常|游戏改|校园|恋爱,0
祝福的钟声,8.6,677143,114647,5283,243,恋爱,0
搖曳莊的幽奈小姐（僅限港澳台地區）,9.4,148556,112899,5344,420,恋爱|神魔|漫画改,0
蜂蜜与四叶草II,9.7,3668301,354460,56520,1387,萌系|恋爱|少女|治愈,0
青出于蓝,9.4,1426730,109127,42252,529,日常|少女|治愈|恋爱,0
恋旅～True Tours Nanto～,9.5,823235,100545,11968,358,恋爱,0
初音岛II S.S.,9.4,722401,471417,8690,343,日常|游戏改|校园|恋爱,0
圣诞之吻SS OVA,9.7,1284009,707829,21994,516,恋爱|校园|日常|治愈,0
罗密欧与朱丽叶,9.4,485162,83904,4569,281,恋爱|架空|奇幻,0
魔法使的新娘 等待繁星之人（僅限台灣地區）,9.5,52103,374301,1020,295,恋爱|奇幻|魔法,0
未确认进行式 OAD,9.5,1252242,697924,8881,485,恋爱|日常,0
天使怪盗,9.4,1238648,76341,34000,342,奇幻|恋爱|神魔|少女,0
AURA ～魔龙院光牙最后的战斗～,9.6,455756,74328,3815,959,小说改|治愈|校园|恋爱,1
戰×戀（僅限港澳台地區）,8.4,285010,71590,6911,649,漫画改|校园|恋爱,1
YU-NO 在這世界盡頭詠唱愛的少女（僅限港澳台地區）,7.8,463959,70770,10801,970,游戏改|科幻|恋爱|声控,0
紫式部 源氏物语,9,730361,67751,14618,137,历史|恋爱,0
京四郎和永远的天空,7.3,294746,66736,2868,138,恋爱|奇幻,0
一弦定音！（僅限港澳台地區）,9.4,267744,64079,4431,451,漫画改|恋爱|校园|音乐,0
怪盗基德1412（中配）,9.5,3114034,680437,17908,406,漫画改|智斗|恋爱,0
只要你说你爱我 OAD,8.4,881226,585424,11958,210,恋爱|少女,0
流★星LENS,9.3,567033,56024,5391,142,恋爱|少女,0
英国恋物语艾玛,9.4,799488,60293,31864,187,恋爱|治愈,0
在盛夏等待 特别篇,9.4,447704,499164,2876,425,催泪|恋爱|科幻,0
青山刚昌短篇集,9.8,716105,51165,5219,417,漫画改|恋爱,1
虹色DAYS OAD,8.8,377010,47971,1481,124,恋爱,0
刮掉鬍子的我與撿到的女高中生（僅限港澳台地區）,7.9,152569,43658,4904,366,小说改|恋爱,0
