番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
悠哉日常大王 第三季,9.9,15766121,1554827,202285,21820,漫画改|日常|萌系|治愈,1
我太受欢迎了该怎么办,9.1,39679201,1502228,1289104,5178,乙女|漫画改|校园,0
无能力者娜娜,9.4,35439899,1477586,292475,78499,漫画改|校园|智斗|催泪,1
银魂 第二季,9.9,13157523,1694297,80534,8743,漫画改|热血|搞笑|战斗,1
URARA迷路帖,9.5,20499035,1460559,719016,6198,漫画改|日常|架空,0
街角魔族,9.8,29882387,1459832,442342,32554,漫画改|日常|萌系|搞笑,1
银魂 第三季,9.9,7990708,1694297,47821,4243,漫画改|热血|搞笑|战斗,1
Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,9.6,3987942,1941418,64741,6421,漫画改|校园|魔法|搞笑,1
ReLIFE,9.9,13903341,1495244,192109,27532,校园|恋爱|搞笑|治愈,1
家庭教师HITMAN REBORN!,9.9,57420899,1429413,1436683,35010,奇幻|热血|战斗|漫画改,0
爱吃拉面的小泉同学,9.2,26467276,1377179,555554,8931,治愈|美食|漫画改,0
邻家索菲,9.8,23925711,1374634,555555,17135,萌系|漫画改,1
鬼灯的冷彻 第二季,9.7,36932362,2343490,574108,12551,搞笑|日常|神魔|漫画改,1
冰海战记,9.8,38547897,1370893,435753,66618,漫画改|历史|热血|冒险,1
川柳少女,9.7,22310333,1329214,366580,16068,漫画改|恋爱|校园|日常,1
妖精森林的小不点,9.9,23294036,1317179,317554,38737,奇幻|日常|漫画改|萌系,0
NARUTO to BORUTO THE LIVE 2019,9.2,4136686,1822930,27027,1136,漫画改,1
名侦探柯南 唐红的恋歌,8.9,3580857,3738459,56641,2397,漫画改|推理|智斗,1
忧国的莫里亚蒂 后半,9.8,2310836,1319899,23096,1444,漫画改|架空|声控|智斗,1
進擊的巨人 The Final Season（僅限港澳台地區）,9.6,2236805,1304259,47431,12552,漫画改|热血|战斗|冒险,0
忧国的莫里亚蒂,9.6,18421987,1319900,179567,15880,漫画改|智斗|声控|架空,1
3月的狮子,9.8,22184330,1345429,364001,10005,漫画改|恋爱|日常|励志,0
索玛丽与森林之神,9.8,16045074,1140019,257859,23076,漫画改|奇幻|治愈|萌系,1
只要贝尔哲布布大小姐喜欢就好,9.6,13378409,1128231,196526,7871,萌系|搞笑|恋爱|奇幻,1
哆啦A梦 第一季,9.8,8051799,1473871,58362,3164,漫画改|日常|少儿|搞笑,1
雏子的笔记,9.5,14085133,1097420,431156,4248,萌系|日常|漫画改,0
UQ HOLDER！悠久持有者！,7,26162423,1173547,262019,4321,热血|战斗|漫画改|冒险,0
刻刻,9.3,17614302,1075703,265836,12331,科幻|漫画改,0
水果篮子 第二季,9.6,8145743,1231373,99726,4825,漫画改|奇幻|校园|恋爱,1
猫咪日常,9.6,25076202,1051305,125903,6006,漫画改|萌系|日常|泡面,0
恋爱小行星,9.7,13622920,1007995,339333,15779,漫画改|搞笑|日常|治愈,1
天地创造设计部,9.5,16506369,996491,161229,20786,漫画改|奇幻|搞笑,1
黑白来看守所,9.1,30020543,1210436,546803,2483,漫画改|搞笑,0
NEW GAME!!,9.5,16725161,1818724,631360,10372,职场|漫画改,0
敦君与女朋友,9.4,17764687,961525,46104,5344,恋爱|漫画改,1
龙先生，想要买个家 / 龙族买房,9.5,7891314,956497,51606,2204,漫画改|搞笑|日常,1
ReLIFE 完结篇,9.9,10886235,1495244,142099,54263,恋爱|科幻|校园|漫画改,0
水果篮子 (2019),9.7,17086434,1231373,263323,9684,漫画改|奇幻|校园|恋爱,1
進擊的巨人 第二季（僅限台灣地區）,9.7,3382467,1304259,70662,5318,奇幻|热血|战斗|漫画改,0
同居人是猫,9.7,20684777,916897,215708,11585,治愈|漫画改|萌系,0
政宗君的复仇,5.1,13364702,901176,179709,18221,搞笑|日常|恋爱|校园,1
王室教师海涅,9.3,14674244,919171,501453,2775,搞笑|漫画改,1
俺物语！！,9.9,14443858,895325,547686,42533,漫画改|日常|校园|恋爱,1
一个人的〇〇小日子,9.6,14557478,890037,246241,7075,漫画改|日常|萌系|校园,1
青之驱魔师,8.9,9338873,966537,242837,4174,奇幻|战斗|热血|漫画改,1
龙与魔女/BURN THE WITCH,9.8,5712542,873175,41008,14814,漫画改|魔法|架空,1
轻音少女 第二季,9.9,24420465,1918277,720069,49627,漫画改|萌系|音乐|校园,1
Comic Girls,9.7,14506063,865435,293728,10001,搞笑|日常|漫画改,0
黑子的篮球,9.1,19307987,1207313,915772,3014,运动|热血|声控|社团,1
ACCA13区监察课,9.8,11990711,857549,238859,8948,漫画改|奇幻|智斗,0
只有我不存在的城市,9.7,9508274,833192,152207,25938,推理|治愈|催泪|穿越,1
萤火之森,9.7,4428934,830367,110961,7904,漫画改|神魔|催泪|恋爱,0
攻壳机动队,9.9,1012251,943231,4923,2500,漫画改|科幻|战斗,1
非枪人生 第二季,9.3,4106529,918914,21659,2172,漫画改|战斗|科幻,1
Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,9.6,4263807,1941418,95597,5700,热血|奇幻|战斗|魔法,1
魔笛MAGI,9.2,13374374,1112859,404020,3687,奇幻|战斗|漫画改|架空,0
放学后海堤日记,9.8,11105169,790123,175902,12621,漫画改|搞笑|日常|少女,1
魔法少女 俺,9.3,11558030,831543,269606,6318,搞笑|漫画改|偶像|魔法,1
暗黑破坏神在身边。,9.2,14219525,769141,179887,11541,漫画改|日常|搞笑|声控,1
奇异太郎少年的妖怪绘日记,9.7,17717893,766465,67891,3324,漫画改|神魔|泡面,0
鬼灯的冷彻 第二季 其二,9.8,21555971,2343490,264558,6821,搞笑|神魔|漫画改,1
ULTRAMAN 机动奥特曼,9.5,30939374,1903618,448529,18719,漫画改|奇幻|科幻|战斗,0
通灵王,6.7,7677526,742442,50453,2289,漫画改|热血|战斗|奇幻,1
昨日之歌,9.5,11920746,736342,355937,21668,漫画改|恋爱|日常,0
猎兽神兵,8.2,16596498,730056,175143,7779,漫画改|战斗|声控|奇幻,1
怪病医拉姆尼,9.3,10186601,723950,73956,5846,漫画改|奇幻|声控,1
魔法少女☆伊莉雅 3REI!!,9.6,8524307,1941418,167276,3454,奇幻|战斗|魔法|漫画改,0
攻壳机动队 SAC_2045,9.6,4854056,943231,43856,4599,漫画改|科幻,1
尽管如此世界依然美丽,9.6,8012106,697628,182782,5026,治愈|少女|漫画改|架空,0
粗点心战争2,9.1,9070375,1325806,105948,3784,日常|美食|漫画改,1
非枪人生,7.5,12035625,918914,78522,15911,漫画改|科幻|冒险,1
这爱情有点奇怪,9.3,6579266,671196,74210,5712,漫画改|少女|恋爱,1
来自深渊 深沉灵魂的黎明,9.8,4577331,796974,52044,13608,漫画改|奇幻|冒险|架空,1
阿松 第三季,9.6,7211139,716498,100463,4021,漫画改|日常|搞笑,1
书店里的骷髅店员本田,9.6,7804048,651527,50869,4432,搞笑|职场|漫画改,1
嫁给非人类,9.6,17965746,639671,61292,5380,漫画改,0
齐木楠雄的灾难 完结篇,9.8,9338319,4460715,77781,13730,搞笑|校园|漫画改,1
厨神小当家2,6.3,4013592,693217,24565,1252,漫画改|奇幻|冒险|美食,1
轻羽飞扬！,4.1,12735778,626801,303641,60992,社团|运动|漫画改,1
名侦探柯南（中配）,9.8,157764298,3738459,2543388,17725,漫画改|智斗|推理,1
神推偶像登上武道馆我就死而无憾,9.8,11250448,625297,289787,20271,漫画改|日常|偶像|萌系,1
排球少年！！,9.9,15070238,741114,283138,25513,漫画改|热血|校园|运动,1
乌冬面之国的金色毛球,9.6,10198607,621703,179062,2144,漫画改|日常|治愈,0
WWW.迷糊餐厅,9.4,13528596,610049,220580,2777,搞笑|日常|职场|漫画改,0
思维覆写,9.6,10820422,594918,134876,13214,漫画改|奇幻,1
黑白来看守所 第二季,9.2,13607427,1210436,290390,1803,搞笑|漫画改,0
犬夜叉完结篇,9.8,26761617,2652646,473197,12089,漫画改|热血|奇幻|战斗,0
翼年代记 第一季,9.6,2485982,636792,25760,1969,热血|架空|穿越|冒险,0
浪客剑心,9.7,9894035,627483,98583,3901,热血|战斗|历史|漫画改,1
高分少女 第二季,9.9,8279619,554996,107452,26323,漫画改|恋爱,1
名侦探柯南：绀青之拳,7.5,16073092,3738459,317128,14493,悬疑|动画|动作|漫画改,1
人马少女的烦恼,9.2,9611013,542319,241266,3071,奇幻|日常|漫画改,0
恶魔战线,8.2,6872822,541976,85326,2915,恋爱|奇幻|漫画改,1
3月的狮子 第二季,9.8,12935507,1345429,256091,17709,日常|励志|漫画改,0
听我的电波吧,9.8,7666994,533654,113311,14126,职场|励志|搞笑|漫画改,1
不愉快的怪物庵 续,9.6,12032151,811230,123216,3965,治愈|神魔|漫画改,0
深夜的超自然公务员,7.6,10771904,527244,74339,3332,漫画改|奇幻|职场|声控,1
织田肉桂信长,9.7,7971270,520658,110277,7673,漫画改|搞笑|日常|萌系,1
厨神小当家2（中配）,6.8,1529937,693217,14454,559,漫画改|奇幻|冒险|美食,1
舞动青春,9.6,17044029,519003,340016,9305,运动|漫画改|励志,0
名侦探柯南 Episode“ONE” 变小的名侦探,9.7,3649107,3738459,97399,1987,漫画改|推理|智斗,0
魔笛MAGI 辛巴达的冒险,9.5,11652129,1112859,187994,1378,奇幻|战斗|架空|冒险,0
江户川柯南失踪事件～史上最糟糕的两天～,9.5,3493819,3738459,43781,1774,漫画改|推理|智斗,0
剧场版 阿松,9.8,992055,716498,28164,3338,日常|漫画改|搞笑,1
花牌情缘 第三季,7.8,6787540,574361,78844,9344,漫画改|热血|恋爱|少女,1
進擊的巨人 第三季 Part.2（僅限台灣地區）,9.8,4237996,1304258,103968,20524,漫画改|热血|奇幻|战斗,0
怪盗基德,9.8,7938549,680563,111066,3892,漫画改|智斗,0
黄金神威,9.8,7348065,646356,71125,5273,漫画改|搞笑|冒险|历史,1
浪客剑心 追忆篇,9.9,2002930,627483,20579,7186,漫画改|战斗|催泪|历史,1
未确认进行式,9.7,5975069,698003,71786,5552,漫画改|萌系|搞笑,0
覆面系 NOISE,8.4,6986427,432652,196797,962,恋爱|音乐|少女|漫画改,0
宅饮,9.3,6722100,427775,65293,1888,日常|美食|漫画改,0
牵牛花与加濑同学。,9.8,1935821,420789,50486,6730,校园|日常|漫画改,1
食梦者,9.8,5183263,451602,183287,4415,日常|热血|励志|职场,1
黄金神威 第三季,9.9,7161967,646353,76079,12323,漫画改|冒险|历史|搞笑,1
阿尔蒂,9.6,5293256,410867,64105,6376,漫画改|日常|治愈,1
厨神小当家,5,8744070,693217,108505,7759,漫画改|奇幻|冒险|美食,1
满溢的水果挞,9.6,3726073,396132,43651,3708,漫画改|日常|萌系|偶像,1
BEM,8.4,4879956,399306,40299,2904,漫画改|战斗|奇幻,1
怪盗基德1412,9.8,14248175,680563,191753,5310,漫画改|智斗,0
世界魔女出发！,9.3,1791710,383448,3915,476,漫画改|日常|少女,1
武装少女,9.2,5600489,357374,59918,3057,校园|战斗|漫画改,1
中间管理录利根川,9.6,9541035,354735,84149,4680,搞笑|日常|励志|职场,1
魔法使的新娘（僅限台灣地區）,9.5,1165901,374331,27708,3540,恋爱|奇幻|魔法|漫画改,0
三颗星彩色冒险,9.7,4779715,352213,139838,7581,萌系|漫画改|搞笑,0
剧场版 BEM BECOME HUMAN,9,455007,399306,2529,470,战斗|奇幻|漫画改,1
剧场版 悠哉日常大王 Vacation,9.9,2462247,1554826,58663,11164,漫画改|萌系|治愈|日常,1
来自深渊 剧场版总集篇,9.9,3188611,796974,44950,7439,漫画改|奇幻|冒险|架空,1
魔法律事务所 第二季,8.6,2774050,328870,8563,777,漫画改|奇幻|魔法,1
珈百璃的堕落 SP,9.8,5849810,2928374,106942,4035,校园|日常|漫画改,0
放学后桌游俱乐部,9.3,3343859,322179,64062,3220,漫画改|校园|日常|社团,1
攀岩少女！,9,3560138,309001,31572,2277,漫画改|运动,1
工作细胞（中配版）,9.7,19285148,8925727,136798,4547,漫画改|日常|战斗|搞笑,1
乒乓,9.8,4238094,297385,41513,11615,漫画改|校园|运动|热血,1
UQ HOLDER！悠久持有者 OAD,9,4052367,1173547,24064,646,热血|战斗|漫画改,0
海兽之子,8.4,4618837,0,26660,3665,奇幻|动画|冒险|漫画改,1
幽游白书,9.8,2426317,281311,21270,2584,战斗|热血|神魔|漫画改,1
政宗君的复仇（僅限港澳台地區）,6.7,297278,276928,13486,1368,漫画改|校园|恋爱,0
笑面推销员NEW,8.6,5834762,274848,165908,1227,漫画改,0
超级小白,9.6,9310369,287910,35141,5152,漫画改|搞笑,0
虚空魔境 第二季,9,5415604,265576,18911,1720,漫画改|热血|战斗,0
迷糊餐厅 WORKING’!!,9.6,2793258,787302,69079,1924,搞笑|日常|声控|美食,1
滿腦都是○○的我沒辦法談戀愛（僅限台灣地區）,9.5,823179,258411,15353,1849,漫画改|搞笑|恋爱,0
纯白之音,9.7,1412727,256675,12760,911,漫画改|音乐|励志,1
钻石王牌 act II 后半,9.8,9635706,316358,95802,4624,漫画改|校园|运动|社团,1
小不点社长,9.5,1678103,238871,3647,2083,漫画改|泡面|搞笑,0
烧窑的话也要马克杯,9.3,856556,238595,4173,278,日常|治愈|漫画改,1
鲁邦三世 PART5,9.8,1722593,456931,13176,2825,搞笑|时泪|漫画改,1
吸血鬼仆人,8.2,3008620,256873,67399,1108,漫画改|战斗|奇幻,0
出租女友（僅限港澳台地區）,7.3,1041643,232841,44545,3948,漫画改|恋爱|声控,0
黄金神威 第二季,9.9,4623547,646355,62385,4482,漫画改|搞笑|冒险|历史,1
将国之天鹰星,9.1,4358021,225943,71746,1463,战斗|漫画改|架空,0
騷亂時節的少女們。（僅限台灣地區）,9.4,798257,222722,36601,2965,漫画改|日常|校园|恋爱,0
南家三姐妹 我回来了,9.8,4410994,643033,127234,2440,萌系|搞笑|日常|漫画改,0
狼少女与黑王子,8.9,2742924,264721,58586,1674,漫画改|少女|恋爱|校园,1
前进吧！登山少女 第三季,9.7,2761186,363541,49067,2659,萌系|社团|日常|漫画改,0
勇者斗恶龙 达伊的大冒险,9.6,3791536,209270,37180,2450,热血|战斗|冒险|漫画改,1
琴之森,9.5,3678053,312709,29340,1383,音乐|治愈|励志|漫画改,0
雨色可可side G,8.3,3445689,201712,5940,628,日常|泡面|漫画改|萌系,0
名侦探柯南 贝克街的亡灵,9.8,5465588,3738459,139241,8652,漫画改|推理|智斗,1
火之丸相扑,9.2,7739410,194363,45637,2732,热血|漫画改|运动,0
最游记 RELOAD BLAST,9.7,577324,229612,4117,373,奇幻|战斗|冒险|神魔,1
MIX,9.8,6377541,192545,42375,4431,漫画改|运动|社团|恋爱,1
名侦探柯南 计时引爆摩天楼,9.7,5450684,3738464,78176,3747,漫画改|推理|智斗,1
你遭難了嗎？（僅限港澳台地區）,9.5,1249787,190341,14909,1611,漫画改|搞笑|萌系|日常,0
猎龙飞船,8.8,3149847,188450,27435,4954,漫画改|奇幻|架空|美食,1
美妙射击部,9.4,2348726,186814,31001,2218,漫画改|萌系|运动|社团,1
忍者少女千鸟,9.4,7576061,251661,25993,510,漫画改|搞笑|泡面,1
橘色奇迹,9,949416,180480,14719,1223,漫画改|校园|恋爱|奇幻,1
最游记,9.6,2646500,229612,120765,529,奇幻|热血|架空|冒险,0
小凉宫春日的忧郁,9.6,1622847,1177794,5869,1259,萌系|漫画改,1
怪医黑杰克,9.8,1949636,206696,49145,1485,漫画改,0
翼年代记 第二季,9.4,1253492,636792,16006,714,架空|穿越|冒险|漫画改,1
舞伎家的料理人,9.9,682739,165975,4084,119,漫画改|日常|美食,0
怪医黑杰克剧场版之超人类,9.7,119468,206696,1979,267,漫画改,1
钻石王牌 act II 前半,9.7,12363251,316358,113421,3802,漫画改|校园|运动|社团,1
Tokyo Guru: re (Part 2)（僅限港澳台地區）,7.9,751693,220579,10983,710,热血|战斗|漫画改,0
國王遊戲 The Animation（僅限台灣地區）,3.8,327255,154369,8399,1587,智斗|漫画改,0
魔法少女什么的已经够了啦。第二季,9.1,2789914,398535,16262,581,萌系|魔法|日常|泡面,0
伯纳德小姐说。,9.2,2095051,151221,8011,392,漫画改|日常|泡面,0
阿童木起源,9,2521977,147126,48975,325,科幻|漫画改,0
飙速宅男 新世代,9.2,5035288,210628,67907,367,热血|运动|漫画改,1
鬼滅之刃（僅限台灣地區）,9.4,3664365,145615,38948,2431,漫画改|战斗,0
虹色时光,9.4,1880774,137139,19140,1523,漫画改|恋爱|校园|少女,1
名侦探柯南 迷宫的十字路口,9.8,3712847,3738464,88752,2991,漫画改|推理|智斗,1
名侦探柯南 世纪末的魔术师,9.7,3470590,3738464,86044,2253,漫画改|推理|智斗,1
宇宙战舰提拉米斯II,9.5,3600368,466630,18118,1181,搞笑|奇幻|泡面|漫画改,0
与汪汪喵喵同居的开心日常,9.8,4688312,132183,3132,2999,日常|萌系|治愈|漫画改,0
名侦探柯南 纯黑的恶梦,8.9,4076064,3738459,86909,2077,漫画改|推理|智斗,1
名侦探柯南 天空的遇难船,9,3495039,3738464,95791,1843,漫画改|推理|智斗,1
魔術學姐（僅限港澳台地區）,9.2,618895,126004,5926,853,漫画改|搞笑|恋爱,0
名侦探柯南 业火的向日葵,6.6,3211473,3738464,59588,3067,漫画改|推理|智斗,1
列比乌斯/Levius,9.5,1405091,125571,8029,973,漫画改|战斗|科幻,1
名侦探柯南 侦探们的镇魂歌,9.5,3437357,3738464,83042,1821,漫画改|推理|智斗,1
剧场版 王室教师海涅,9.5,630677,919171,21706,1009,搞笑|漫画改,1
名侦探柯南 瞳孔中的暗杀者,9.8,3309891,3738459,91804,3420,漫画改|推理|智斗,1
名侦探柯南 第14个目标,9.7,3495836,3738464,70717,1900,漫画改|推理|智斗,1
名侦探柯南 银翼的魔术师,9.3,3312238,3738464,80094,1618,漫画改|推理|智斗,1
名侦探柯南 通往天国的倒计时,9.8,3385021,3738464,90556,2715,漫画改|推理|智斗,1
CANNON BUSTERS,7.1,1232859,122219,6760,943,漫画改|搞笑|冒险|科幻,1
骑行少女,9.5,1928732,121421,72505,607,漫画改|校园|社团|运动,0
