番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
今天开始做魔王 第二季,9.3,2241344,476903,23056,407,奇幻|神魔|架空|穿越,1
Fate/Grand Order - 絕對魔獸戰線巴比倫尼亞 -（僅限台灣地區）,8.8,359300,81512,5412,591,游戏改|穿越|奇幻|战斗,0
翼·年代记 鸟笼国的公主,9.1,54776,636792,173,361,奇幻|热血|架空|穿越,1
蜡笔小新 超时空！呼风唤雨的我的新娘,9.7,1627687,1401380,36440,942,萌系|搞笑|少儿|穿越,1
刀劍神域 Alicization War of Underworld（僅限台灣地區）,8.7,322462,95382,5173,462,小说改|热血|战斗|穿越,0
遥远时空中 八叶抄,9,978727,77659,24818,128,奇幻|乙女|架空|穿越,0
彩云国物语 第二季,9.5,1609276,230790,25636,382,奇幻|少女|声控|小说改,0
骇客时空,9.1,640626,64379,4982,146,科幻|穿越|冒险,0
哆啦A梦 大雄的平行西游记,9,1689083,1473873,30843,430,萌系|奇幻|科幻|少儿,0
蜡笔小新 呼风唤雨！战国大合战,9.8,1031500,1401380,20293,797,萌系|少儿|穿越|冒险,1
魔法骑士,9.4,1039287,61470,20616,243,奇幻|少女|魔法|架空,0
魔神坛斗士,9.6,1349169,67712,14155,308,科幻|热血|穿越,0
蜡笔小新之云黑斋的野心,9.4,847929,1401380,14233,277,萌系|时泪|少儿|穿越,1
精灵宝可梦 剧场版12：阿尔宙斯超克的时空,8.8,1209923,319018,19735,176,架空|穿越|冒险,1
哆啦A梦 大雄的新魔界大冒险~7人之魔法使,9.5,917541,1473873,19398,395,时泪|少儿|穿越|冒险,0
哆啦A梦 大雄的恐龙,9.5,1224423,1473873,17401,361,萌系|奇幻|科幻|少儿,0
精灵宝可梦 剧场版4：雪拉比穿梭时空的相遇,9.2,555272,319018,7608,151,架空|穿越|冒险,1
刀劍神域 Alicization War of Underworld 第二季（僅限台灣地區）,4,293467,95382,6395,1678,小说改|穿越|科幻|冒险,0
哆啦A梦 大雄与日本诞生,9.3,1434498,1473873,19811,220,萌系|奇幻|科幻|少儿,0
實況主的逃脫遊戲【直播中】（僅限台灣地區）,8.2,173585,37951,2792,168,漫画改|穿越|冒险,0
Re：從零開始的異世界生活 第二季 Part2（僅限港澳台地區）,9.7,99069,40674,1375,265,小说改|穿越|奇幻,0
Re：從零開始的異世界生活 第二季（僅限港澳台地區）,9.4,530127,40674,7034,956,小说改|穿越|战斗|奇幻,0
今天开始做魔王 OVA,9.2,354201,476903,1555,156,奇幻|架空|穿越|冒险,0
平凡職業造就世界最強（僅限港澳台地區）,3.8,351033,34556,5650,1691,小说改|奇幻|战斗|穿越,1
哆啦A梦 新大雄的恐龙,9.5,533650,1473873,5888,332,机战|时泪|穿越|冒险,0
哆啦A梦 大雄与风之使者,9.6,769180,1473873,17439,303,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的天方夜谭,9.6,637908,1473873,14596,219,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄与梦幻三剑士,9.7,706464,1473873,18277,310,萌系|奇幻|科幻|少儿,0
這個勇者明明超TUEEE卻過度謹慎！（僅限台灣地區）,9.5,461156,32286,7555,548,小说改|穿越|奇幻|战斗,0
哆啦A梦 大雄的魔界大冒险,9.5,907672,1473872,37098,218,时泪|少儿|穿越|冒险,0
COP CRAFT（僅限台灣地區）,8.3,198178,29712,3307,262,小说改|穿越|奇幻|职场,0
魔神英雄传 永恒传说,9.4,487269,62293,1670,109,热血|奇幻|时泪|少儿,0
.hack//世界的彼方,9.3,55763,26303,946,107,科幻|校园|架空|穿越,0
.HACK//Quantum,9.6,172172,26262,1567,105,热血|科幻|战斗|架空,0
夏之岚！ ～春夏冬中～,9.3,149319,84829,1502,179,奇幻|日常|美食|穿越,0
魔王大人、RETRY！（僅限港澳台地區）,7.7,195596,24645,3163,207,小说改|奇幻|魔法|穿越,1
關於我轉生變成史萊姆這檔事 轉生史萊姆日記（僅限港澳台地區）,9.8,87001,22903,2280,139,漫画改|穿越|日常|搞笑,0
驭龙少年,9.3,498004,19851,9602,128,奇幻|热血|架空|穿越,0
真・女神转生 魔力宝贝,9.6,476453,18277,7963,147,科幻|穿越|冒险,0
我不是說了能力要平均值嗎？（僅限港澳台地區）,8.4,192860,16883,4406,314,小说改|穿越|奇幻|萌系,1
八男？別鬧了！（僅限港澳台及其他地區）,5.1,134591,6844,2259,208,小说改|穿越|奇幻|架空,1
小書痴的下剋上:為了成為圖書管理員不擇手段!（僅限台灣地區）,9.2,82576,7280,1705,134,小说改|穿越|架空|励志,0
