番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
重来吧，魔王大人！,8.2,54608505,1791142,912947,36248,小说改|奇幻|魔法|穿越,1
犬夜叉,9.9,140892208,2652646,3214037,40470,漫画改|热血|穿越|奇幻,0
齐木楠雄的灾难（日播&精选版）,9.6,216476727,4460716,1291882,10538,奇幻|校园|泡面|漫画改,1
异界少女召唤术,6.9,32643649,1681919,519351,16849,小说改|奇幻|战斗|魔法,1
格莱普尼尔,8.9,40027391,1680723,419025,25376,漫画改|奇幻|战斗,1
问题儿童都来自异世界？,9.2,49506271,1716354,692543,7317,奇幻|战斗|热血|架空,0
神之塔,9.3,46770868,1664506,483473,46940,漫画改|战斗|奇幻|冒险,1
幻界战线 & BEYOND,9.8,35607736,2811511,397638,30741,奇幻|战斗|漫画改,0
魔法少女小圆,9.8,24346875,2196829,979109,33040,奇幻|魔法|穿越|原创,0
魔法纪录 魔法少女小圆外传,9.5,17855638,2196829,264551,13021,游戏改|奇幻|战斗|萌系,1
GOSICK,9.7,6577185,1561490,125002,18817,萌系|奇幻|日常|催泪,1
笨蛋，测验，召唤兽,9.7,27708282,1716621,911911,11098,奇幻|校园|恋爱|小说改,0
K RETURN OF KINGS,9.3,68613663,3027214,1177902,5338,奇幻|战斗|声控|原创,1
Rewrite,8.6,37399562,1930981,1111300,3808,奇幻|校园|穿越,0
刺客守则,6.5,33885354,1478483,448744,20561,小说改|奇幻|战斗|魔法,1
家庭教师HITMAN REBORN!,9.9,57421102,1429413,1436683,35010,奇幻|热血|战斗|漫画改,0
哆啦A梦：大雄的新恐龙,9.8,3342825,1473873,81170,5442,奇幻|动画|冒险,1
无头骑士异闻录,9.6,18210123,1695014,952202,7392,奇幻|日常|声控|小说改,0
DARKER THAN BLACK -黑之契约者-,9.8,13309167,1458094,310566,9525,奇幻|战斗|热血|催泪,1
命运之夜——天之杯：恶兆之花,9.6,19514748,5240236,318985,13638,奇幻|动画,1
斩服少女,9.8,11970563,1373303,236259,28841,奇幻|热血|原创,0
魔王勇者,9.5,10057420,1360995,187185,11777,奇幻|少女|声控|神魔,1
散华礼弥,9.5,9129777,1351782,338553,10765,奇幻|日常|治愈,0
妖精森林的小不点,9.9,23294057,1317180,317554,38737,奇幻|日常|漫画改|萌系,0
COP CRAFT,9.1,24501662,1315040,288653,29987,小说改|职场|奇幻|穿越,1
绯弹的亚里亚,8.7,22918742,1603705,933817,4380,热血|奇幻|校园|战斗,0
灰与幻想的格林姆迦尔,9.8,13818189,1291410,298974,28397,奇幻|战斗|小说改|励志,0
×××HOLiC,9.8,12941761,1389105,275053,6950,奇幻|日常,0
热诚传说X,8.3,31103994,1494413,780232,2027,热血|奇幻|战斗|架空,0
女神异闻录5 动画版,9.1,29565935,1365336,379402,9897,奇幻|游戏改,1
无限系统树,6.1,35944217,1247848,393336,14900,小说改|穿越|奇幻|战斗,1
怪化猫,9.8,13171236,1240038,328798,11634,奇幻|治愈|神魔,0
不吉波普不笑,9.7,21537007,1231036,256121,20770,小说改|奇幻|校园|声控,1
超人高中生们即便在异世界也能从容生存！,3.6,28745029,1227872,566557,100909,小说改|穿越|奇幻|冒险,1
零之使魔,9.3,10843057,1430833,319191,5648,奇幻|日常|战斗|恋爱,0
学战都市Asterisk 第二季,8.5,56078024,2248095,977578,3324,奇幻|校园|战斗|架空,1
来自风平浪静的明天,9.6,12660498,1206241,602215,19760,奇幻|治愈|催泪|恋爱,0
